id,名前,姓,名,ナマエ,セイ,メイ
近世後期__数学・幾何学__ロシア__0001,エレーナ・ズヴェズドヴァ,ズヴェズドヴァ,エレーナ,エレーナ ズヴェズドヴァ,ズヴェズドヴァ,エレーナ
近世後期__暦法・観測学__朝鮮__0001,申 昌哲,申,昌哲,シン チャンチョル,シン,チャンチョル
近世後期__物質論・錬金術・初期化学__オーストリア__0001,フリードリヒ・グラーベル,グラーベル,フリードリヒ,フリードリヒ・グラーベル,グラーベル,フリードリヒ
近世後期__数学・幾何学__スイス__0001,カタリーナ・フォーゲル,フォーゲル,カタリーナ,カタリナ フォーゲル,フォーゲル,カタリナ
近世後期__光学__英国__0001,Morgan Penrose,Penrose,Morgan,モーガン・ペンローズ,ペンローズ,モーガン
近代前期__電磁気学__英国__0001,Clara Winslow,Winslow,Clara,クララ ウィンスロー,ウィンスロー,クララ
近代前期__熱学・統計物理__フランス__0001,ルイ・ヴァレリー,ヴァレリー,ルイ,ルイ・ヴァレリー,ヴァレリー,ルイ
近代前期__数学・幾何学__ドイツ__0001,マリーゼ・ケッセル,ケッセル,マリーゼ,マリーゼ・ケッセル,ケッセル,マリーゼ
近代前期__天文学・宇宙論__北米植民地・米国__0001,セオドア ウェッブ,ウェッブ,セオドア,セオドア ウェッブ,ウェッブ,セオドア
近代前期__数学・幾何学__ロシア__0001,イリヤ・ロマノヴィチ・チェルニシェフ,チェルニシェフ,イリヤ ロマノヴィチ,イリヤ・ロマノヴィチ・チェルニシェフ,チェルニシェフ,イリヤ・ロマノヴィチ
近代前期__実験自然学__オーストリア__0001,エルザ・ブラウンシュタイン,ブラウンシュタイン,エルザ,エルザ・ブラウンシュタイン,ブラウンシュタイン,エルザ
近代前期__力学__スイス__0001,ユリウス・ヘルリッヒ,ヘルリッヒ,ユリウス,ユリウス・ヘルリッヒ,ヘルリッヒ,ユリウス
近代前期__光学__スウェーデン__0001,カリン・エックストローム,エックストローム,カリン,カリン・エックストローム,エックストローム,カリン
近代後期__電磁気学__日本__0001,黒田 慎太郎,黒田,慎太郎,クロダ シンタロウ,クロダ,シンタロウ
近代後期__実験物理__英国__0001,Margaret Huxley,Huxley,Margaret,マーガレット ハクスリー,ハクスリー,マーガレット
近代後期__理論物理__ドイツ__0001,ヘルマン・ヴァイデル,ヴァイデル,ヘルマン,ヘルマン・ヴァイデル,ヴァイデル,ヘルマン
近代後期__実験物理__フランス__0001,クロエ・ベルタン,ベルタン,クロエ,クロエ・ベルタン,ベルタン,クロエ
近代後期__電磁気学__ロシア__0001,ニコライ・ヴォロジェンニコフ,ヴォロジェンニコフ,ニコライ,ニコライ・ヴォロジェンニコフ,ヴォロジェンニコフ,ニコライ
近代後期__熱学・統計物理__オーストリア__0001,ハンナ・ヴァルトナー,ヴァルトナー,ハンナ,ハンナ・ヴァルトナー,ヴァルトナー,ハンナ
近代後期__数学・幾何学__スペイン__0001,Fernando Alarcón,Alarcón,Fernando,フェルナンド・アラルコン,アラルコン,フェルナンド
近代後期__天文学・宇宙論__米国__0001,Evelyn Carter,Carter,Evelyn,エヴェリン・カーター,カーター,エヴェリン
現代前期__理論物理__米国__0001,Emily Thornton,Thornton,Emily,エミリー・ソーントン,ソーントン,エミリー
現代前期__実験物理__英国__0001,Oliver Bramwell,Bramwell,Oliver,オリバー ブラムウェル,ブラムウェル,オリバー
現代前期__量子情報・量子技術__ドイツ__0001,Jonas Krüger,Krüger,Jonas,ヨナス・クリューガー,クリューガー,ヨナス
現代前期__原子核物理__ソ連・ロシア__0001,エレーナ・アファナシエワ,アファナシエワ,エレーナ,エレーナ・アファナシエワ,アファナシエワ,エレーナ
現代前期__理論物理__日本__0001,田辺 光輝,田辺,光輝,タナベ コウキ,タナベ,コウキ
現代前期__実験物理__インド__0001,Anaya Iyer,Iyer,Anaya,アナヤ イエール,イエール,アナヤ
現代前期__天文学・宇宙論__中国__0001,陳 明哲,陳,明哲,チン ミンジョー,チン,ミンジョー
現代前期__理論物理__スイス__0001,Robin Schaller,Schaller,Robin,ロビン シャラー,シャラー,ロビン
現代中期__原子核物理__米国__0001,Calvin Dyer,Dyer,Calvin,カルヴィン・ダイアー,ダイアー,カルヴィン
現代中期__実験物理__英国__0001,Fiona Langley,Langley,Fiona,フィオナ・ラングリー,ラングリー,フィオナ
現代中期__宇宙物理・天体物理__フランス__0001,Lucien Moreau,Moreau,Lucien,ルシアン モロー,モロー,ルシアン
現代中期__原子核物理__ソ連・ロシア__0001,イリーナ・ヴォロスティノワ,ヴォロスティノワ,イリーナ,イリーナ・ヴォロスティノワ,ヴォロスティノワ,イリーナ
現代中期__凝縮系物理__日本__0001,斎藤 悠真,斎藤,悠真,サイトウ ユウマ,サイトウ,ユウマ
現代中期__理論物理__中国__0001,李 星辰,李,星辰,リ セイシン,リ,セイシン
現代中期__材料物理__インド__0001,アニル・ラオ,ラオ,アニル,アニル・ラオ,ラオ,アニル
現代中期__地球惑星物理__ブラジル__0001,Marina Luz Ribeiro,Ribeiro,Marina Luz,マリナ ルス ヒベイロ,ヒベイロ,マリナ ルス
現代後期__量子情報・量子技術__中国__0001,沈 芯萱,沈,芯萱,シン シンシュアン,シン,シンシュアン
現代後期__凝縮系物理__米国__0001,Ethan Caldwell,Caldwell,Ethan,イーサン・コールドウェル,コールドウェル,イーサン
現代後期__宇宙物理・天体物理__英国__0001,Harriet Wells,Wells,Harriet,ハリエット ウェルズ,ウェルズ,ハリエット
現代後期__材料物理__日本__0001,村上 拓真,村上,拓真,ムラカミ タクマ,ムラカミ,タクマ
現代後期__計算物理__韓国__0001,チェ・ソヨン,チェ,ソヨン,チェ ソヨン,チェ,ソヨン
現代後期__理論物理__インド__0001,Arvind Malhotra,Malhotra,Arvind,アルヴィンド マルホトラ,マルホトラ,アルヴィンド
現代後期__量子情報・量子技術__台湾__0001,林 慧瑜,林,慧瑜,リン フェイユ,リン,フェイユ
現代後期__計算物理__オーストラリア__0001,Liam Corbett,Corbett,Liam,リアム コルベット,コルベット,リアム
現代最年少__計算物理__インド__0001,Rishi Mehta,Mehta,Rishi,リシー メータ,メータ,リシー
現代最年少__量子情報・量子技術__米国__0001,Elena Monroe,Monroe,Elena,エレナ モンロー,モンロー,エレナ
現代最年少__宇宙物理・天体物理__中国__0001,張 天行,張,天行,チョウ テンコウ,チョウ,テンコウ
現代最年少__量子情報・量子技術__韓国__0001,キム・セリン,キム,セリン,キム・セリン,キム,セリン
現代最年少__計算物理__英国__0001,Owen Blake,Blake,Owen,オーウェン ブレイク,ブレイク,オーウェン
現代最年少__材料物理__ナイジェリア__0001,Okoro Amaka,Okoro,Amaka,オコロ アマカ,オコロ,アマカ
現代最年少__量子情報・量子技術__オーストラリア__0001,Morgan Ellis,Ellis,Morgan,モーガン エリス,エリス,モーガン
現代最年少__生物物理__カナダ__0001,Zara Montgomery,Montgomery,Zara,ザラ・モンゴメリー,モンゴメリー,ザラ
